name	rollNotes	spheres	level	spellType	vulgarity	range.num	range.type	targets.num	targets.type	targets.num2	duration.num	duration.type	defense	rollArcana	paradox	img
Phase	As an instant you 'phase', allowing you to pass through up to 6 inches of stone. This spell is blocked by Iron and Iron that is on you will fail to phase. 	space	1	instant	witness	0	self	0	self	0	0	immediate	none	false	1	systems/mage/icons/arcana/Space1.png
Teleport	Move up to {6} Hexes in any direction, so long as you can see where you are going and that there is a path to get there that has at least 1 cm of clearance. IE under a door with a window or through Prison bars.	space	1	complex	witness	6	hexes	0	self	0	0	immediate	none	false	1	systems/mage/icons/arcana/Space1.png
Dispel Space	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. {Space} Enchantments.	space	1	simple	never	16	hexes	1	other	0	0	immediate	none	true	0	systems/mage/icons/arcana/Space1.png
Sense History	Pick up an Object. Get a sense of that objects history, going back about an hour.	time	1	enchantment	never	0	self	0	self	0	10	rounds	none	true	1	systems/mage/icons/arcana/Time1.png
Minor Divination	You gain {3} to all saves for a single turn	time	1	instant	never	0	self	0	self	0	1	rounds	none	false	1	systems/mage/icons/arcana/Time1.png
Age	Target feels 20% older than his current age, or 20 years, which ever is less. Inflicts {1} {Slow} and {1} {Weaken} on the target.	time	1	enchantment	witness	16	hexes	1	other	0	3	rounds	grit	false	1	systems/mage/icons/arcana/Time1.png
Chronoburst	Single target of your choice gains {1} {Haste}	time	1	enchantment	witness	16	hexes	1	targets	0	3	rounds	none	false	1	systems/mage/icons/arcana/Time1.png
Metamagic - Accelerate	Any Enchantment or Aura has half the duration, but is triggered twice each turn.  Can be cast on enchantments as a naked spell to modify their behavior, even if it's not your enchantment. 	time	1	special	never	16	hexes	0	self	0	0	immediate	grit	false	0	systems/mage/icons/arcana/Time1.png
Stabalize Time	Target cannot suffer from slow or haste. If target is currently slowed or hasted, they suffer neither effect.  They accumulate and use stacks normally. Those stacks simply don't apply until this enchantment is dispelled. 	time	1	enchantment	witness	16	hexes	1	targets	0	0	immediate	none	false	1	systems/mage/icons/arcana/Time1.png
Dispel Time	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. {Time} Enchantments.	time	1	simple	never	16	hexes	1	other	0	0	immediate	none	true	0	systems/mage/icons/arcana/Time1.png
Detect Leylines	Know the strength and location of any Leylines within a location that you can either see at a distance, or that you know intimately within the spells detection range.   Know the strength and sphere of any detected Leyline	prime	1	simple	never	1	kilometers	0	self	0	10	rounds	none	false	1	systems/mage/icons/arcana/Prime1.png
Antimagic Instinct	Reduce the Arcana of any spell by {2}. A spell with zero Arcana after the use of this ability is automatically countered. 	prime	1	instant	never	16	hexes	1	targets	0	0	immediate	will	false	1	systems/mage/icons/arcana/Prime1.png
Enervate Magic	Target suffers {3} Blank Stacks.	prime	1	simple	never	16	hexes	1	targets	0	0	immediate	will	false	1	systems/mage/icons/arcana/Prime1.png
Manabolt	Deals {12} Damage to a single target. A Mage target will suffer {3} Paradox in addition to the damage.	prime	1	simple	witness	16	kilometers	1	targets	0	0	immediate	cunning	false	1	systems/mage/icons/arcana/Prime1.png
Metamagic - Fortify Spell	Attached spell gains {4} Arcana	prime	1	special	never	0	self	0	self	0	3	rounds	none	false	0	systems/mage/icons/arcana/Prime1.png
Grit Ward	Target gains {3} to Grit Saves	prime	1	enchantment	never	0	touch	1	targets	0	0	reserved	none	false	1	systems/mage/icons/arcana/Prime1.png
Dispel Prime	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. {Prime} Enchantments.	prime	1	simple	never	16	hexes	1	other	0	0	immediate	none	true	0	systems/mage/icons/arcana/Prime1.png
Detect Illusions	See through invisibility, Illusions, or any other magical attempt to fool the senses. 	force	1	enchantment	never	32	hexes	0	self	0	10	rounds	none	true	1	systems/mage/icons/arcana/Force1.png
Elemental Shield	A single target of your choice gains elemental resistance for a single turn. 	force	1	instant	coincidental	32	hexes	1	targets	0	1	rounds	none	false	1	systems/mage/icons/arcana/Force1.png
Push / Pull	A single target suffers {2} Knockback either away or towards you. Target suffers {12} Bashing Damage	force	1	simple	coincidental	16	hexes	1	targets	0	0	immediate	none	false	1	systems/mage/icons/arcana/Force1.png
Elemental Bolt	Deals {16} Elemental damage to a single target of your choice. Element is learned when spell is learned, you must learn again if you want to be able to cast other elements. Bolts can be Thermal ( Frost ) , Thermal ( Heat ) , Toxic or Electric.   Can be used to empower your palm, adding {8} Damage to a hand-to-hand attack, or adding it to a metal meele weapon as an Instant. Thermal will destroy bars and non-magical wooden doors. Electric fries and destroys machinery. Toxic can make a potent injested Toxin that deals {24} damage if injested, and inflicts 1x Perm Rot, 1x Perm Oppress, 1x Perm Weak , 1x Perm Confuse for 1 week.	force	1	simple	witness	16	hexes	1	targets	0	0	immediate	cunning	false	1	systems/mage/icons/arcana/Force1.png
Minor Telekinesis	Move up to {3} Objects , attacking with them as a meele weapon, dealing {2d4} Damage , at a cost of {1} ap for each object.  Use your Arcana as Base attack dice.	force	1	enchantment	witness	8	hexes	0	self	0	3	rounds	cunning	false	1	systems/mage/icons/arcana/Force1.png
Force Bubble	The next spell or supernatural ability or attack that deals 20 damage or more is reduced to zero. This spell is dispelled once it is triggered and the attacking spell is dispelled once triggered.   This spell has a {4} Dice chance to avoid detection. 	force	1	enchantment	never	0	self	0	self	0	0	reserved	none	false	1	systems/mage/icons/arcana/Force1.png
Dispel Force	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. Force Enchantments.	force	1	simple	never	16	hexes	1	other	0	0	immediate	none	true	0	systems/mage/icons/arcana/Force1.png
Detect Occult	Any Occult knowledge you have, gains you access to detect their abilities. For example, Vampiric knowledge will let you detect Vampiric disciples the way you normally detect magic. It also enables you to sense the presence of super-natural creatures of which you have knowledge. 	spirit	1	simple	never	16	hexes	0	self	0	10	rounds	none	true	1	systems/mage/icons/arcana/Spirit1.png
Spirit Shield	A single target of your choice gains celestial resistance for a single turn. 	spirit	1	instant	coincidental	32	hexes	1	targets	0	1	rounds	none	false	1	systems/mage/icons/arcana/Spirit1.png
Spirit Bind	An Outsider of your choice suffers from {Hold} or {Bind}	spirit	1	simple	never	16	hexes	1	targets	0	3	rounds	will	false	1	systems/mage/icons/arcana/Spirit1.png
Summon Familiar	Once you learn this spell, you gain access to a familiar, which you can dismiss or summon as an instant.   Familiars have {6} Spot, {6} Listen and {6} to a skill of choice. They have {10} HP, {10} Cunning. {4} Grit and use your Will. They can deal 1d6 damage with claws.  If killed, you suffer 30 damage and suffer from permanent Rot for 1 week. Familiars know to survive, and can't be targeted by enemies unless you order them to do something stupid.   Familiar's are considered Reserved spells, but do not need to be recast each day.  	spirit	1	enchantment	coincidental	0	self	0	self	0	0	reserved	none	false	1	systems/mage/icons/arcana/Spirit1.png
Dictum of Command	Lesser Outsider of your choice suffers from {1xConfusion}, and on it's next turn it will do precisely as you command. A commanded outsider will not destroy or banish itself, but it will remain frozen in place, paralized for a single turn, if ordered to do so. 	spirit	1	simple	never	8	hexes	0	self	0	1	rounds	will	false	1	systems/mage/icons/arcana/Spirit1.png
Dispel Spirit	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. {Spirit} Enchantments.	spirit	1	simple	never	16	hexes	1	other	0	10	rounds	none	true	0	systems/mage/icons/arcana/Spirit1.png
Detect Weakness	Learn the weakest save and weakest resistance of any target enemy, through careful observation. 	entropy	1	simple	never	16	hexes	1	targets	0	0	immediate	none	false	0	systems/mage/icons/arcana/Entropy1.png
Reality Stitch	Add or Subtract {6} Damage onto any meele or missile attack by yourself or another by subtly manipulating probability to reduce or increase the impact.	entropy	1	instant	never	16	hexes	1	targets	0	0	immediate	none	false	1	systems/mage/icons/arcana/Entropy1.png
Enervate	Inflicts a single stack of Rot on a target.	entropy	1	enchantment	never	16	hexes	1	targets	0	3	rounds	none	false	1	systems/mage/icons/arcana/Entropy1.png
Improbable Cause	Choose two actions. These actions must be differenet from each other in some way, such as attacking two different targets, attacking a target and picking a lock, etc.  Roll both. Choose the action you like best. These actions always use the highest AP cost of the 2 actions.	entropy	1	simple	never	0	self	0	self	0	0	immediate	none	false	1	systems/mage/icons/arcana/Entropy1.png
Roll of the Die	Gain {4} dice when using Larceny, or when involved in games of chance.  Gain {2} dice to any other action that isn't Larceny or chance games. 	entropy	1	instant	never	0	self	0	self	0	0	immediate	none	false	1	systems/mage/icons/arcana/Entropy1.png
Cunning Ward	Gain {3} to Cunning Saves	entropy	1	enchantment	never	0	self	0	self	0	0	reserved	none	false	1	systems/mage/icons/arcana/Entropy1.png
Dispel Entropy	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. {Entropy} Enchantments.	entropy	1	simple	never	0	self	0	self	0	0	immediate	none	true	1	systems/mage/icons/arcana/Entropy1.png
Identify	On touch, know the chemical composition of any material. Also Gain insight into the construction of Artifacts and Magical Item Level 10 or less. 	matter	1	simple	never	0	touch	0	self	0	0	immediate	none	false	0	systems/mage/icons/arcana/Matter1.png
Stoneskin	A target of your choice gains resistance to Physical Damage for a single turn	matter	1	instant	coincidental	0	touch	0	self	0	0	immediate	none	false	1	systems/mage/icons/arcana/Matter1.png
Turn to Mud	Turn any hard ground up to {8} connected hexes and connected to youtr feet into a very thick mud.   Anyone in those hexes suffer from 1x Enviromental Slow.	matter	1	simple	witness	0	self	8	hexes	0	0	immediate	none	false	1	systems/mage/icons/arcana/Matter1.png
Bound Weapon	Manifest a weapon of your choice that acts as a +1 Magic Weapon.  Damage is determined by weapon type. You can also choose to make an Iron (Banal) or Silver (Lunar) weapon that is considered a +0 weapon. 	matter	1	simple	coincidental	0	self	0	self	0	1	hours	none	false	1	systems/mage/icons/arcana/Matter1.png
Create Cover	Create up to 3 Hexes area that can act as cover. These hexes need not be contigious.	matter	1	simple	witness	16	hexes	3	hexes	0	0	immediate	none	false	1	systems/mage/icons/arcana/Matter1.png
Barrier	Next physical attack to you or another that deals 20 damage or more is reduced to zero. 	matter	1	simple	coincidental	16	hexes	1	targets	0	0	reserved		false	1	systems/mage/icons/arcana/Matter1.png
Dispel Matter	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. {Matter} Enchantments.	matter	1	simple	never	0	self	0	self	0	0	immediate	none	true	1	systems/mage/icons/arcana/Matter1.png
Sense Surface Emotion	Sense the basic emotional state of a crowd. Supernatural targets may choose to resist this effect. 	mind	1	enchantment	never	16	hexes	1	other	0	10	rounds	none	false	1	systems/mage/icons/arcana/Mind1.png
Flicker of Doubt	Applies a {4} Dice penalty to a single ability roll of your choice. Only has an effect on constructs.	mind	1	instant	never	16	hexes	1	other	0	0	immediate	none	false	1	systems/mage/icons/arcana/Mind1.png
Inspire / Oppress	A single target gains {2} Oppression or {2} Inspiration	mind	1	instant	never	16	hexes	1	other	0	0	immediate	none	false	1	systems/mage/icons/arcana/Mind1.png
Curious Progression	A single target gains {2} to a single skill of your choice.	mind	1	instant	never	16	hexes	1	other	0	0	immediate	none	false	1	systems/mage/icons/arcana/Mind1.png
Forgetfulness / Recall	A target forgets one specific peice of information. This includes banning the use of certain spells or abilities.   This fact cannot be remembered unless a mind mage uses this spell and inverts it force them to Recall it. 	mind	1	simple	never	16	hexes	1	other	0	1	immediate	none	false	3	systems/mage/icons/arcana/Mind1.png
Mind Ward	Target gains +3 to Will Saves	mind	1	enchantment	never	0	touch	1	other	0	0	reserved	none	false	1	systems/mage/icons/arcana/Mind1.png
Dispel Mind	Roll Arcana Vs an Enchantment. Gain {4} Dice vs. {Mind} Enchantments.	mind	1	enchantment	never	16	hexes	1	other	0	0	immediate	none	true	1	systems/mage/icons/arcana/Mind1.png
Troll's Strength	Gain {1} Strength. Reserved.	life	2	enchantment	never	0		0	self	0	0	reserved	none	false	2	systems/mage/icons/arcana/Life2.png
Malignent Metabolism	A target suffers {4} Damage per turn, but gains {2} {Haste}.  When the enchantment is dispelled, target retains the haste effect for {2} additional turns, and continues to suffer damage.	life	2	enchantment	witness	16	hexes	1	targets	0	5	rounds	none	false	2	systems/mage/icons/arcana/Life2.png
Health Stone	Craft a small stone, that when held in your hand for an entire return, increases your recovery by {4}.	life	2	special	never	16	hexes	0	self	0	0	permanent	none	false	3	systems/mage/icons/arcana/Life2.png
Evolutionary Fitness	Target of your choice gains {2} {Vigor}  Coincidental: Spell may trigger Paradox roll if target performs obviously superhuman acts in front of sleepers. Lifting a tree, bending steel, etc.	life	2	enchantment	coincidental	16	hexes	0	self	0	5	rounds	none	false	2	systems/mage/icons/arcana/Life2.png
Nature Swarm	Summon a swarm of insects native to the region you are in. Inflicts {2} Oppression on the target and deals {10} Toxic damage.  Nature Swarm can move up to {6} hexes a turn and may do so on your turn.   Coincidental : Spell may trigger Paradox role if no insects are native to the area. 	life	2	enchantment	coincidental	16	hexes	0	self	0	5	rounds	none	false	2	systems/mage/icons/arcana/Life2.png
Oracle's Sight	Gain +1 Perception. Reserved.	space	2	enchantment	never	0	touch	1	other	0	0	reserved	none	false	2	systems/mage/icons/arcana/Space2.png
Enter Plane	Travel yourself and one other person into a plane of your choice of which you have Cosmology.  You can move normally in this plane, and then by casting this spell again as a zero paradox simple spell, you can return to any location on the prime material, congriuent with where you were upon that plane, effectively teleporting you there.    It is not possible to move unwilling subjects. 	space	2	enchantment	witness	0	touch	1	other	0	10	rounds	none	false	2	systems/mage/icons/arcana/Space2.png
Beacon	Construct a Beacon that allows you to cast Space spells as if you were at the location of the Beacon.  You can allow other mages to Attune to your Beacon. ( Attunement isn't in game yet, for now, it just means someone spent an hour with it learning how to use it ). 	space	2	enchantment	witness	1	kilometers	0	self	0	0	permanent	none	false	5	systems/mage/icons/arcana/Space2.png
Solar Beam	Open up a tiny pinhole near The Caul, causing {16} Damage per turn, as concentrated {Solar} Damage leaks through the hole. 	space	2	enchantment	witness	32	hexes	1	other	0	3	rounds	none	false	2	systems/mage/icons/arcana/Space2.png
Dispersed Sound	You and up to {5} Allies are completely silent.   Gain {4} on Stealth Checks. Any enemy utilizing Listen also suffers {4} Dice on Listen checks. 	space	2	enchantment	never	1	kilometers	5	targets	0	1	hours	none	false	2	systems/mage/icons/arcana/Space2.png
Glasswalker's Lament	Gain {1} Charisma. Reserved	time	2	enchantment	never	0	self	0	self	0	0	reserved	none	false	2	systems/mage/icons/arcana/Time2.png
Slow Projectiles	Any projectiles that hit a target are slowed, granting that target at least Resistance to all damage.  This spell does not effect supernatural projectiles, but it does effect magic weapons, or supernatural claws, etc. 	time	2	instant	witness	16	hexes	1	other	0	0	immediate	none	false	2	systems/mage/icons/arcana/Time2.png
Timestone	Craft a small stone, that when held in your hand for an entire turn grant {1} Haste on subsequent turns.  This haste is removed if the stone is removed.  Coincidental : If a sleeper witnesses the user of this stone moving faster than is possible, then it will trigger Paradox. IE, using more than 3 AP in sight of sleepers triggers a roll.	time	2	special	coincidental	0	self	0	self	0	0	permanent	none	false	5	systems/mage/icons/arcana/Time2.png
Premonition	Your next weapon attack strikes unerringly. You gain {6} Dice on that attack. Declare before you make your attack roll. 	time	2	instant	never	0	self	0	self	0	0	immediate	none	false	2	systems/mage/icons/arcana/Time2.png
Haste / Slow	A single target gains {1} Haste or {1} Slow.  Coincidental: If a sleeper witnesses the target of this spell moving faster than is possible then it will trigger Paradox. IE, using more than 3AP in sight of sleepers triggers a roll. 	time	2	enchantment	coincidental	16	hexes	1	targets	0	5	rounds	none	false	2	systems/mage/icons/arcana/Time2.png
Satyr's Courage	Gain {1} Courage. Reserved. 	prime	2	enchantment	never	0	self	0	self	0	0	reserved	none	false	2	systems/mage/icons/arcana/Prime2.png
Antimagic Shell	Give a single target your Arcana vs a single spell. 	prime	2	instant	never	16	hexes	1	targets	0	0	immediate	none	false		systems/mage/icons/arcana/Prime2.png
Taas	Create a small object which when consumed reduces that users Paradox by {4}  Consuming a Taas requires a full minute, but it may be an object of any type you want. IE A mushroom you eat, a pamphlet you read, or a lute you strum till the strings break. The object takes up 1 Carry worth of space, and cannot be moved more than 15 feet from the owner, without losing it's magical properties. 	prime	2	special	never	0	self	0	self	0	0	permanent	none	false	5	systems/mage/icons/arcana/Prime2.png
Dispel Magic	As Dispel, but it receives no bonus vs a specific school, and applies a Dispel Roll to every Enchantment on that target. 	prime	2	simple	never	16	hexes	1	targets	0	0	immediate	none	true	1	systems/mage/icons/arcana/Prime2.png
Guidling Bolt	A bolt from the sky strikes the target, dealing {16} Damage and twisting magical fortunes such that they are easier to strike with further magics. Target suffers {3} {Unlucky}.	prime	2	simple	witness	16	hexes	1	targets	0	0	immediate	none	false	2	systems/mage/icons/arcana/Prime2.png
Elemental Ward	Grants a single target Resistance to all elemental damage.	force	2	enchantment	coincidental	1	kilometers	1	targets	0	0	reserved	none	false	2	systems/mage/icons/arcana/Force2.png
Metamagic - Elemental Proliferation	Any effect with an elemental component inflicts a status effect  - Thermal( Fire ) : Inflicts {2} Rot - Thermal( Ice ) : Inflicts {2} Slow - Lighting : Target is Blinded. - Toxic : Inflicts {2} Oppression	force	2	special	never	0	self	0	self	0	0	immediate	none	false	0	systems/mage/icons/arcana/Force2.png
Spell Focus	A magical stone that when placed into the users hand, can act as a focus, increasing your Arcana by {1}.  A spell Focus can be forged into the item as part of normal enchantment. 	force	2	special	never	0	self	0	self	0	0	permanent	none	false	5	systems/mage/icons/arcana/Force2.png
Elemental Beam	As Elemental Bolt, dealing {16} Damage  but lasts for {3} Turns. Requires {1} Free Hand, or a hand holding Spell Focus. and {1} AP per turn to maintain this effect.   You may choose a new target each turn. Target's do not dispel this effect if there is a succesful defense.  	force	2	enchantment	witness	16	hexes	1	targets	0	3	rounds	none	false	2	systems/mage/icons/arcana/Force2.png
Invisibility	All targets attacking you have an effective Blind status effect. Characters Immune to blind can still see you.   Gain {4} to stealth rolls.	force	2	enchantment	coincidental	0	self	16	targets	0	10	rounds	none	false	2	systems/mage/icons/arcana/Force2.png
Celestial Ward	Grants a single target Resistance to all celestial damage.	spirit	2	enchantment	coincidental	1	kilometers	1	targets	0	0	reserved	none	false	2	systems/mage/icons/arcana/Spirit2.png
Soul Burn	Deals {16} Damage per turn to a single target of a celestial damage of your choice, but lasts for {3} Turns. Requires {1} free hand or a hand holding a Spell Focus and {1} AP Per turn to maintain this effect.  You may choose a new target each turn. 	spirit	2	enchantment	witness	16	hexes	1	targets	0	3	rounds	will	false	2	systems/mage/icons/arcana/Spirit2.png
Bind Lesser Outsider	Enslave a single outsider to your will.   Outsiders have a properties / weaknesses as a result of the realm from which they are from. You must have Cosmology on the plane from which you wish to Bind. Outsiders come in all types,  but generically, expect a creature that has about {8} Attack Dice, {72} HP, and deals {2d8+8} Damage on a succesful strike, in addition to some special ability native to their realm.   This spell is always Paradoxical when cast. It also triggers Paradox if it is witnessed by a sleeper. A bound Outsider can be summoned as a 3 AP Action at a cost of 1 Paradox.   The Outsider is bound to a relic of your choice. Lamps are common, but also gemstones, books, or other hand-sized artifacts of the modern world are acceptable and like all enchantments, can be bound into equipment.    This spell in your hand, allows you to heal that outsider for {5d8} Damage.	spirit	2	special	always	0	self	0	self	0	5	permanent	none	false	5	systems/mage/icons/arcana/Spirit2.png
Blind	Strike a single target {Blind}	spirit	2	enchantment	never	16	hexes	1	targets	0	5	rounds	will	false	2	systems/mage/icons/arcana/Spirit2.png
Grey Presence	You shrink your soul such that the gaze of others seems to pass over you. You are not invisible, rather your soul leaves such a small impression that people simplely fail to notice you.  You are considered invisible to anyone within 32 Hexes of you. This spell is dispelled if you act agressively in the world.   	spirit	2	enchantment	never	0	self	32	radius	0	1	hours	none	false	2	systems/mage/icons/arcana/Spirit2.png
Farie Fingers	Gain {1} Dexerity. Reserved	entropy	2	enchantment	coincidental	1	kilometers	1	targets	0	0	reserved	none	false	2	systems/mage/icons/arcana/Entropy2.png
Warped Probability	Target can add up to {5} Dice to any number of rolls over the next Hour.  Once all dice are used, this spell ends. 	entropy	2	simple	never	16	hexes	1	targets	0	0	immediate	none	false	2	systems/mage/icons/arcana/Entropy2.png
Entropic Stone	While held in your hand, or when built into a magical item, this stone provides +{1} to all Saves. 	entropy	2	special	never	0	self	0	self	0	0	permanent	none	false	5	systems/mage/icons/arcana/Entropy2.png
Ray of Enfeeblement	Inflict {16} Damage on a single target and Inflicts {2} stacks of {Weak}	entropy	2	simple	witness	16	hexes	1	targets	0	0	immediate	cunning	false	2	systems/mage/icons/arcana/Entropy2.png
Fatebending	A single target gains {2} {Lucky} or {Unlucky}	entropy	2	enchantment	never	16	hexes	1	targets	0	5	rounds	none	false	2	systems/mage/icons/arcana/Entropy2.png
Lesser Physical Ward	Grants a single target Resistance to all physical damage.   Coincidental : Triggers a Paradox Roll if a sleeper was to witness without explanation someone surviving some insult they would not otherwise.	matter	2	enchantment	coincidental	1	kilometers	1	other	0	0	reserved	none	false	2	systems/mage/icons/arcana/Matter2.png
Grasping Fingers	Inflict {Hold} on a single target per turn in the affected area. Terrain in effected area is considered treachours, and movement through it has it's cost doubled.	matter	2	enchantment	witness	16	hexes	2	radius	0	5	rounds	none	false	2	systems/mage/icons/arcana/Matter2.png
Homunculus	Create a minor minion, no bigger than a house cat, and often that looks or acts like you. It is of low intelligence, but extremely loyal and immune to mental status effects. It has one skill at {6} and two at {4}. It can use weapons no bigger than a dagger or hand crossbow, both of which are two-handed weapons for it, that it deals only base damage with. This minion can either fly, have extremely keen senses({+5} spot/listen), or be extremely stealthy({5} Stealth), at your option in addition to the skills above. A Homunculus can serve as 'staff' when helping with projects. in addition to it's regular skills. If killed, you suffer {5} Paradox, and must create another from scratch.   It can be dismissed or summed at will, as a 2 AP action.	matter	2	special	coincidental	0	self	0	self	0	0	rounds	none	false	5	systems/mage/icons/arcana/Matter2.png
Shatter	Inflicts {16} Damage on a single target and destroys a single non-magical item that person is carrying, up to and including worn armor. 	matter	2	simple	coincidental	16	hexes	0	self	0	0	rounds	grit	false	2	systems/mage/icons/arcana/Matter2.png
Material Morph	Turn self or Other into an object that gains the properties of a material they are touching.  For example - save a target from drowning, or burning alive in lava by changing their form to that material temporarily. They adopt the properties of that material, and may gain immunity or resistnace to various effects.  This effect nullifies all resistance the target currently has in favor of a profile common to the material in question. This power can and should be used offensively to deny defenses to enemies. For example, turning a vampire into a mud-like material makes bashing weapons more effective against it, but also render it nearly immune to fire. 	matter	2	enchantment	witness	0	touch	1	targets	0	5	rounds	grit	false	2	systems/mage/icons/arcana/Matter2.png
Will of the Sidhe	Gain +1 Intelligence. Reserved	mind	2	enchantment	coincidental	0	self	0	self	0	0	reserved	none	false	2	systems/mage/icons/arcana/Mind2.png
Arrested Development	A single target suffers {4} Dice penalty when using a skill of your choice. 	mind	2	enchantment	never	16	hexes	1	targets	0	5	rounds	will	false	2	systems/mage/icons/arcana/Mind2.png
Mirrorhelm	By carefully polishing and Enchating the inside of a helm, circuit or other headgear, gain {3} to Will saves	mind	2	special	always	0	self	0	self	0	5	rounds	none	false	5	systems/mage/icons/arcana/Mind2.png
Psionic Blast	Deals {10} Damage to a single target per negative status effect. This damage is reduced by {10} for each positive status effect.  Negative Status effects that are not the result of active enchantments are cleared. 	mind	2	simple	never	16	hexes	1	targets	0	0	immediate	will	false	2	systems/mage/icons/arcana/Mind2.png
Nightmare	Inflicts a Nightmare on the chosen target, that beleives it is being assaulted by a creature that it fears.  Targets under Nightmare suffer {12} Bashing Damage per turn.	mind	2	enchantment	never	16	hexes	1	targets	0	5	rounds	will	false	2	systems/mage/icons/arcana/Mind2.png
Regeneration	A single target of your choice gains {3} Regeneration Stacks. They may roll a single recovery roll immediately.   Coincidental : Sleepers who witness an Impossible recovery ( burns recovering, etc ) may trigger a paradox roll.	life	3	enchantment	coincidental	8	hexes	1	targets	0	3	rounds	none	false	3	systems/mage/icons/arcana/Life3.png
Catabolism	Accelerate the effectiveness of the targets muscles, making them much more effective in combat. Target gains {3} Vigor   Coincidental : Any trait increased above 6 will Trigger a paradox roll, if also witnessed. 	life	3	enchantment	coincidental	16	hexes	1	targets	0	3	rounds	none	false	3	systems/mage/icons/arcana/Life3.png
Cleanse	A wide area that is Toxic is cleansed of it. In addition, it clears 1x Stack of Rot, and can be used to Dispel any enviromental enchantment.  Coincidental : Clearing of Rot Stacks not inflicted by magic will trigger Paradox Rolls if also witnessed. Clearing of Toxins that are not inflicted by magic will trigger Paradox rolls if also witnessed.	life	3	simple	coincidental	0	self	5	radius	0	3	rounds	none	true	3	systems/mage/icons/arcana/Life3.png
Drain Life	Deals {24} Damage to a single target, and heals you for {24} Damage. 	life	3	simple	witness	16	hexes	1	targets	0	0	immediate	grit	false	5	systems/mage/icons/arcana/Life3.png
Sparrow's Speed	A single target gains {3} Movement.   Can be reserved at {2} Paradox cost. 	life	3	enchantment	coincidental	32	hexes	1	targets	0	10	rounds	none	false	3	systems/mage/icons/arcana/Life3.png
Blink	Move up to {6} Hexes in any direction. You gain {6} Dice vs. Any effect.	space	3	instant	witness	6	hexes	0	self	0	0	immediate	none	false	3	systems/mage/icons/arcana/Space3.png
Fly	Target gains the ability of Fast Flight at {8} Hexes per move.   Coincidental : If a sleeper witnesses a user flying. 	space	3	enchantment	coincidental	16	hexes	1	targets	0	5	rounds	none	false	3	systems/mage/icons/arcana/Space3.png
